id,station_name,data_source,lat,lon,http_link,host
-,Cantenhede,MN6,40.35,-8.66,/PRT_Cantenhede_MN6.zip,MN6
-,Castelo_Branco,MN6,39.83,-7.48,/PRT_Castelo_Branco_MN6.zip,MN6
-,Castelo_de_Paivas,MN6,41.04,-8.26,/PRT_Castelo_de_Paivas_MN6.zip,MN6
-,Celorico_de_Basto,MN6,41.38,-8,/PRT_Celorico_de_Basto_MN6.zip,MN6
-,Covilha,MN6,40.26,-7.62,/PRT_Covilha_MN6.zip,MN6
-,Guarda,MN6,40.55,-7.26,/PRT_Guarda_MN6.zip,MN6
-,Guimaraes,MN6,41.44,-8.33,/PRT_Guimaraes_MN6.zip,MN6
-,Lourinha,MN6,39.24,-9.3123,/PRT_Lourinha_MN6.zip,MN6
-,Oleiros,MN6,39.95,-7.86,/PRT_Oleiros_MN6.zip,MN6
-,Oliveira_do_Bairro,MN6,40.51,-8.55,/PRT_Oliveira_do_Bairro_MN6.zip,MN6
-,Pampilhosa_da_Serra,MN6,40.09,-7.91,/PRT_Pampilhosa_da_Serra_MN6.zip,MN6
-,Penacova,MN6,40.26,-8.26,/PRT_Penacova_MN6.zip,MN6
-,Santa_Maria_da_Feira,MN6,40.96,-8.53,/PRT_Santa_Maria_da_Feira_MN6.zip,MN6
-,Santana_Madeira-Islands,MN6,32.8,-16.8824,/PRT_Santana_Madeira-Islands_MN6.zip,MN6
-,Setubal,MN6,38.53,-8.9,/PRT_Setubal_MN6.zip,MN6
-,Sines,MN6,38.05,-8.78,/PRT_Sines_MN6.zip,MN6
-,Tabua,MN6,40.35,-8.03,/PRT_Tabua_MN6.zip,MN6
-,Vale_de_Cambra,MN6,40.5,-8.23,/PRT_Vale_de_Cambra_MN6.zip,MN6
-,Vila_Nova_de_Famalicao,MN6,41.42,-8.5308,/PRT_Vila_Nova_de_Famalicao_MN6.zip,MN6
